study_hours,attendance,internal_marks,practice_hours,performance
2.6,92.58,79,4.57,Good
3.27,79.01,58,3.9,Average
2.24,58.04,52,0.06,Poor
5.61,91.63,73,4.0,Good
5.38,82.41,69,4.27,Good
4.65,92.38,85,1.0,Good
4.74,93.47,91,3.87,Good
5.21,71.62,64,1.29,Average
4.88,88.28,82,3.95,Good
1.18,53.41,41,0.17,Poor
4.21,95.2,84,5.91,Good
1.91,82.45,57,0.57,Poor
3.7,81.28,52,1.66,Average
5.18,85.74,68,3.17,Good
1.38,65.73,30,1.63,Poor
2.26,78.75,70,2.82,Average
2.81,75.92,67,2.35,Average
4.75,96.45,83,3.96,Good
5.11,90.66,63,5.42,Good
3.47,80.36,77,0.5,Average
4.84,87.52,70,4.56,Good
2.32,80.66,49,0.8,Poor
0.91,65.77,79,1.49,Poor
1.91,85.26,74,1.78,Average
4.65,88.41,91,4.03,Good
1.87,83.65,34,1.13,Poor
2.98,82.35,77,3.23,Average
5.28,95.0,80,4.96,Good
5.78,91.19,81,3.21,Good
0.92,68.15,41,0.04,Poor
2.8,89.34,77,2.61,Average
4.48,93.23,84,5.73,Good
5.4,95.37,86,4.64,Good
0.87,68.54,42,2.1,Poor
1.18,84.47,32,0.15,Poor
3.49,79.15,58,1.57,Average
5.52,87.37,78,2.37,Good
2.9,82.98,70,1.94,Average
0.03,57.89,36,0.59,Poor
1.6,81.74,72,2.28,Average
2.95,93.02,59,5.0,Average
2.19,58.35,45,0.67,Poor
0.89,66.25,64,1.56,Poor
3.77,72.9,77,2.54,Average
3.72,90.64,82,3.39,Good
1.18,90.0,51,0.56,Poor
5.98,88.88,79,1.84,Good
4.45,76.04,64,1.78,Average
3.96,94.57,71,4.3,Average
0.82,61.23,58,0.39,Poor
1.4,78.45,76,3.08,Average
2.16,68.09,55,1.6,Poor
1.69,74.04,49,0.8,Poor
7.06,95.09,68,4.8,Good
1.89,80.99,24,1.45,Poor
4.91,88.09,77,4.56,Good
1.62,73.97,64,2.69,Poor
4.83,90.24,83,3.54,Good
1.66,68.99,69,1.69,Average
1.94,93.89,83,2.52,Average
1.62,79.89,57,0.69,Poor
1.73,72.64,48,1.31,Poor
2.16,66.12,30,0.15,Poor
4.51,73.2,89,2.31,Average
3.49,80.69,65,3.05,Average
0.7,54.22,28,0.59,Poor
5.64,87.54,75,1.24,Average
4.79,100.0,77,5.2,Good
1.1,59.83,31,1.21,Poor
0.76,61.37,37,2.0,Poor
4.28,86.31,89,1.31,Average
3.1,73.87,59,2.24,Average
1.92,67.9,49,0.0,Poor
2.54,96.7,37,1.62,Average
1.81,70.28,42,1.27,Poor
3.37,83.69,75,3.52,Average
5.62,96.43,77,3.92,Good
5.51,84.82,86,6.62,Good
3.84,79.71,61,1.47,Average
4.21,73.02,53,4.91,Average
2.71,83.37,58,2.35,Average
3.41,94.51,81,2.8,Good
4.13,93.44,83,4.64,Good
5.51,84.5,67,3.6,Good
4.85,89.45,84,3.32,Good
3.83,85.26,71,3.83,Good
5.19,90.51,49,2.63,Average
6.5,78.04,80,4.37,Good
2.96,78.01,82,2.85,Average
4.18,67.75,80,2.43,Average
2.0,84.15,46,0.2,Poor
4.2,89.27,71,4.06,Good
0.0,44.25,52,0.8,Poor
1.2,64.5,61,0.6,Poor
0.0,84.1,37,0.47,Poor
3.34,75.07,63,3.68,Average
2.87,51.21,25,1.12,Poor
5.04,87.47,87,4.68,Good
2.65,77.67,64,2.65,Average
4.83,84.5,95,4.61,Good
3.92,89.95,79,5.45,Good
5.18,79.4,79,2.8,Good
5.39,90.21,88,2.44,Good
4.53,90.08,85,3.93,Good
1.04,69.33,67,1.98,Average
1.59,57.95,35,0.3,Poor
0.93,69.66,52,0.0,Poor
4.66,93.39,79,3.21,Good
1.41,73.7,55,0.69,Poor
1.76,83.67,82,1.13,Average
4.18,85.14,54,2.89,Average
5.6,81.98,83,4.87,Good
3.02,100.0,96,2.93,Good
3.75,74.99,63,3.41,Average
3.59,85.9,77,1.23,Average
1.49,51.16,55,0.43,Poor
2.88,80.47,37,0.68,Poor
1.37,70.78,49,0.43,Poor
4.55,73.59,62,2.12,Average
1.63,51.05,63,1.34,Poor
1.08,76.54,54,1.4,Poor
4.15,98.78,75,3.45,Good
2.02,70.68,57,3.47,Average
2.53,72.62,67,1.65,Average
5.21,86.13,75,3.67,Good
2.98,75.24,24,0.09,Poor
4.47,97.3,86,5.77,Good
2.6,74.2,47,1.64,Average
1.66,85.52,69,2.35,Average
4.46,94.29,97,6.11,Good
2.2,83.9,62,3.82,Average
5.9,87.8,81,2.86,Good
2.6,64.98,44,1.82,Poor
1.93,73.59,71,3.42,Average
1.43,75.29,58,3.82,Average
2.1,92.39,70,1.51,Average
4.37,86.97,66,1.8,Good
2.93,85.73,67,1.84,Average
0.13,60.41,41,1.46,Poor
4.79,70.13,53,2.32,Average
1.98,89.29,56,2.19,Average
6.98,87.34,83,3.43,Good
3.25,100.0,76,3.96,Good
2.1,53.32,27,0.67,Poor
2.79,96.8,84,3.96,Good
1.81,60.91,63,0.9,Poor
4.07,95.79,77,1.72,Average
0.96,75.3,28,1.66,Poor
5.88,88.99,69,3.92,Good
4.02,89.42,68,4.82,Good
0.8,47.82,44,0.68,Poor
0.08,56.66,61,1.51,Poor
4.03,94.24,78,3.6,Good
1.95,67.9,34,1.2,Poor
0.55,72.1,45,1.58,Poor
3.22,79.82,75,2.98,Average
3.44,77.88,48,0.87,Average
1.72,71.7,51,1.4,Poor
3.14,77.01,61,2.65,Average
0.74,57.18,35,0.57,Poor
1.15,77.83,68,4.16,Average
1.95,85.38,70,2.58,Average
3.57,75.57,68,1.67,Average
5.98,94.02,93,4.21,Good
0.66,63.97,38,1.1,Poor
3.05,85.36,69,1.22,Average
1.54,60.4,49,1.58,Poor
2.38,67.68,53,1.51,Poor
1.35,80.0,61,2.86,Average
0.96,70.79,54,1.45,Poor
1.46,63.27,33,0.84,Poor
4.5,85.22,69,4.64,Good
1.57,66.16,26,2.02,Poor
2.78,75.87,67,4.24,Average
3.59,82.51,55,2.71,Average
5.91,91.49,77,4.22,Good
4.39,87.24,68,4.68,Good
5.36,90.76,82,2.29,Good
1.75,78.49,61,2.16,Average
2.6,75.53,44,1.74,Average
4.52,79.8,54,1.02,Average
1.44,65.0,55,1.23,Poor
1.72,49.27,60,2.16,Poor
4.49,89.76,82,4.11,Good
1.51,77.94,76,0.17,Poor
3.59,79.89,56,2.77,Average
4.59,76.66,57,0.9,Average
0.28,75.36,80,0.79,Poor
2.62,74.29,72,3.42,Average
4.08,80.63,49,3.13,Average
4.08,95.09,69,4.23,Good
2.41,47.0,66,0.88,Poor
1.97,81.45,59,2.28,Average
6.73,88.66,90,3.83,Good
6.12,90.59,65,3.4,Good
3.83,82.8,71,3.15,Average
1.78,86.07,33,1.58,Poor
4.27,80.61,93,4.46,Good
4.82,91.62,91,4.12,Good
6.48,86.11,82,3.95,Good
1.35,69.11,43,0.45,Poor
2.29,82.58,52,2.67,Average
4.01,82.41,87,3.67,Good
3.46,89.24,78,3.14,Average
3.51,72.39,67,3.39,Average
4.07,95.65,79,3.71,Good
0.8,70.47,53,0.45,Poor
5.47,89.79,68,3.23,Good
3.69,91.1,72,2.24,Average
7.27,79.61,82,3.52,Good
1.24,59.98,51,1.67,Poor
2.11,66.24,43,0.89,Poor
1.99,70.64,56,1.2,Average
5.05,86.08,67,3.06,Good
3.32,88.73,57,4.76,Average
6.05,90.03,80,3.61,Good
3.03,83.51,64,2.29,Average
3.98,90.17,70,4.36,Good
5.36,87.5,88,4.82,Good
4.64,73.17,83,3.95,Good
0.57,70.46,61,1.4,Poor
6.87,87.24,85,3.92,Good
4.25,76.39,73,2.07,Average
2.36,63.06,73,2.94,Average
6.6,95.36,83,4.14,Good
1.69,69.53,69,2.31,Average
1.35,75.56,63,1.24,Average
2.71,83.12,57,1.31,Average
7.28,97.01,95,4.98,Good
2.57,76.26,76,1.61,Average
4.3,86.96,88,3.78,Good
2.7,79.73,61,2.86,Average
2.7,76.94,50,1.8,Average
0.91,83.21,39,0.42,Poor
4.39,81.18,55,3.44,Average
2.85,70.31,58,2.35,Average
1.44,54.05,48,1.49,Poor
5.04,99.42,94,4.46,Good
5.38,81.91,73,4.37,Good
0.37,76.24,46,1.59,Poor
4.34,85.95,76,3.38,Good
5.13,94.46,61,4.71,Good
4.13,78.15,62,2.42,Average
5.91,93.67,77,1.93,Good
0.82,60.79,51,1.89,Poor
3.38,83.68,64,2.56,Average
1.31,79.2,52,0.3,Poor
2.09,97.69,51,1.46,Average
3.01,85.9,60,3.78,Average
0.0,50.48,35,0.16,Poor
1.33,64.24,11,0.93,Poor
4.55,78.7,61,2.81,Average
0.58,44.29,39,1.85,Poor
2.33,58.41,48,0.37,Poor
4.45,89.95,80,5.06,Good
4.02,75.53,63,2.33,Average
1.11,60.22,51,0.24,Poor
2.02,69.36,38,0.65,Poor
4.3,84.4,83,2.81,Good
1.77,49.3,48,1.13,Poor
0.95,81.57,48,1.08,Poor
1.75,83.3,37,0.38,Poor
4.23,84.39,76,3.86,Good
2.69,66.54,43,0.49,Poor
3.66,86.37,86,4.83,Good
4.2,83.2,57,1.97,Average
3.5,74.13,90,1.95,Average
1.53,51.79,31,0.94,Poor
2.52,81.01,61,1.34,Average
5.85,84.61,85,3.57,Good
4.29,90.65,76,4.23,Good
1.25,50.8,21,0.48,Poor
4.64,82.22,59,1.17,Average
3.56,78.62,54,1.17,Average
4.19,89.54,72,4.85,Good
1.77,65.97,60,0.26,Poor
5.53,84.19,81,5.85,Good
4.99,88.23,81,3.98,Good
1.84,57.08,47,1.37,Poor
4.47,76.75,75,4.18,Good
1.24,77.77,41,0.6,Poor
0.0,61.6,50,0.65,Poor
0.88,69.52,51,0.76,Poor
3.93,86.8,73,3.56,Average
3.11,79.34,46,1.73,Average
1.97,76.85,47,1.42,Average
5.81,91.7,78,4.04,Good
3.39,76.43,65,3.79,Average
0.59,64.42,69,1.2,Poor
4.69,70.96,70,2.56,Average
3.81,70.05,64,1.33,Average
3.55,84.19,85,3.07,Average
2.14,90.35,60,3.95,Average
4.52,95.04,62,3.18,Average
4.35,87.82,65,2.64,Average
1.22,83.64,65,2.97,Average
4.43,93.58,69,3.78,Good
1.48,59.61,61,1.04,Poor
2.32,57.4,49,0.61,Poor
2.82,85.44,85,2.65,Good
3.93,82.15,64,3.69,Average
6.33,86.07,86,2.88,Good
1.84,53.51,71,0.9,Poor
2.75,89.17,63,4.23,Average
4.17,91.29,80,3.99,Good
4.28,90.53,86,4.34,Good
4.29,93.87,81,5.26,Good
3.29,77.42,52,1.55,Average
1.15,61.23,44,0.85,Poor
1.68,65.68,60,2.02,Poor
2.18,92.61,72,2.52,Average
5.06,86.12,93,3.79,Good
1.49,67.29,39,0.99,Poor
4.73,86.7,70,5.53,Good
5.99,88.9,82,2.8,Good
3.12,79.72,75,3.1,Average
1.86,65.32,46,0.43,Poor
6.65,84.67,87,4.21,Good
1.9,63.03,53,0.0,Poor
2.41,46.24,48,1.66,Poor
4.32,88.79,92,3.73,Good
1.4,76.63,48,0.94,Poor
1.9,81.81,60,2.67,Average
4.06,84.75,86,2.69,Good
2.2,80.17,65,3.03,Average
0.24,49.66,48,1.22,Poor
0.57,70.05,61,1.55,Poor
4.48,92.09,72,2.31,Good
5.44,85.32,67,3.57,Good
1.51,77.36,46,0.47,Poor
3.52,87.88,81,4.71,Average
2.24,79.92,57,2.24,Average
3.43,82.83,67,1.09,Average
1.31,76.97,38,0.46,Poor
4.88,91.26,79,3.64,Good
2.01,72.99,44,1.04,Poor
4.5,97.28,83,3.11,Good
3.7,92.14,88,4.76,Good
3.11,71.47,66,4.35,Average
2.79,90.88,71,3.59,Good
5.38,78.64,81,4.27,Average
4.0,83.18,85,3.01,Good
2.23,65.75,61,2.62,Poor
1.53,55.97,55,0.5,Poor
2.35,87.33,84,3.04,Average
2.66,74.09,73,2.0,Average
0.63,51.02,44,0.63,Poor
6.26,96.95,59,3.76,Good
2.28,79.81,95,3.36,Average
1.89,65.36,36,1.59,Poor
4.43,79.72,65,2.53,Average
5.44,95.58,74,3.37,Good
1.7,58.21,38,1.42,Poor
3.11,75.91,30,2.19,Average
4.81,89.22,87,5.65,Good
2.84,87.13,60,1.82,Average
3.77,83.46,60,2.48,Average
2.13,86.31,81,3.05,Average
5.73,88.08,70,3.68,Good
3.71,85.93,71,3.08,Good
1.94,59.87,45,0.65,Poor
0.99,71.92,44,0.0,Poor
5.06,98.95,76,5.65,Good
1.66,87.36,63,2.66,Average
3.21,93.92,81,4.73,Good
5.35,86.21,71,4.11,Good
5.26,95.5,80,3.2,Good
3.59,63.2,36,0.82,Poor
5.28,96.7,77,4.77,Good
3.29,80.22,78,3.38,Average
3.16,91.02,73,2.28,Average
6.17,89.89,89,2.54,Good
5.78,88.28,76,4.69,Good
0.28,57.49,56,2.27,Poor
3.79,85.03,80,4.25,Good
1.57,90.0,38,0.69,Poor
2.26,71.48,68,2.08,Average
6.18,93.54,81,4.99,Good
2.0,61.63,34,1.57,Poor
2.08,72.8,43,0.23,Poor
1.51,71.94,51,1.59,Poor
1.93,60.83,34,1.62,Poor
4.79,87.86,77,1.64,Good
2.13,58.1,46,1.02,Poor
3.03,87.66,86,3.08,Good
3.36,78.95,69,2.89,Average
4.89,89.94,88,3.0,Good
4.85,81.04,68,2.59,Average
3.45,67.83,76,3.98,Average
5.65,85.91,76,2.88,Good
1.58,48.68,40,1.86,Poor
1.66,67.45,41,0.92,Poor
1.95,65.36,45,2.39,Poor
1.51,52.88,52,0.92,Poor
2.43,77.68,45,0.77,Poor
2.2,71.25,76,1.23,Poor
1.29,65.2,53,0.16,Poor
3.99,97.64,82,4.43,Good
6.33,94.84,73,3.7,Good
1.0,61.31,50,1.17,Poor
2.04,62.86,41,0.43,Poor
1.02,89.9,62,2.15,Average
1.56,53.18,39,1.68,Poor
4.42,73.92,61,2.0,Average
1.08,58.94,57,1.62,Poor
1.16,72.23,26,0.47,Poor
4.99,80.48,69,2.33,Average
3.53,85.28,67,2.09,Average
3.17,96.23,63,1.87,Average
1.45,68.35,87,0.87,Average
1.95,63.38,58,0.69,Poor
2.13,84.17,72,1.35,Average
2.69,78.07,59,2.38,Average
2.27,84.54,71,1.19,Average
1.17,86.42,59,1.68,Poor
2.51,58.99,44,2.36,Poor
0.8,64.14,59,1.01,Poor
4.08,90.38,85,3.13,Good
1.15,69.81,42,1.58,Poor
2.49,86.56,56,3.06,Average
0.85,71.22,44,1.53,Poor
0.65,62.48,51,1.53,Poor
4.52,85.74,82,2.9,Good
0.94,57.96,41,0.0,Poor
1.14,62.05,54,0.36,Poor
4.34,86.01,77,3.04,Good
1.21,69.32,39,2.03,Poor
3.29,85.79,83,4.87,Good
4.01,83.85,85,3.93,Good
0.0,62.36,48,0.45,Poor
3.12,82.93,54,2.87,Average
0.66,89.33,77,0.85,Poor
4.29,91.61,90,4.83,Good
4.87,86.79,83,6.66,Good
1.63,62.14,51,2.38,Poor
2.32,80.56,73,1.83,Average
1.01,67.49,58,0.66,Poor
4.52,72.6,56,2.45,Average
3.07,73.1,65,2.31,Average
2.23,65.42,56,1.1,Poor
3.5,85.64,55,0.7,Average
3.51,73.99,62,2.94,Average
3.38,82.98,61,1.9,Average
2.0,86.5,87,3.98,Good
3.05,89.12,64,1.53,Average
4.0,70.92,88,3.18,Average
4.21,89.14,78,2.74,Average
0.94,88.9,64,3.41,Average
1.33,62.89,21,1.3,Poor
5.72,85.93,95,2.58,Good
1.91,73.77,44,1.82,Poor
5.71,95.02,72,3.86,Good
1.56,82.4,63,2.38,Average
1.24,54.89,61,1.43,Poor
6.18,86.21,89,5.88,Good
2.46,75.69,58,2.72,Average
2.14,88.68,31,0.64,Poor
1.88,83.73,55,3.3,Average
3.51,96.35,73,5.09,Good
0.0,58.22,43,1.01,Poor
1.57,69.76,71,0.84,Poor
2.26,78.75,64,4.18,Average
2.57,67.12,31,1.63,Poor
2.55,75.04,78,2.19,Average
2.74,80.97,33,2.75,Average
0.48,64.8,59,0.97,Poor
1.51,73.87,75,3.07,Average
2.03,78.21,35,1.16,Poor
4.71,88.56,74,3.35,Good
2.59,71.72,76,3.07,Average
1.77,84.46,52,0.67,Poor
4.42,76.2,44,1.99,Average
5.94,83.77,80,3.7,Good
2.75,67.95,65,2.39,Average
6.03,92.35,75,4.78,Good
6.48,94.44,73,4.48,Good
3.59,88.39,61,3.06,Average
2.93,83.62,63,2.68,Average
5.1,85.71,80,4.79,Good
0.5,57.2,54,2.4,Poor
1.74,57.4,55,0.42,Poor
4.94,90.32,77,3.76,Good
1.74,70.42,34,2.49,Poor
3.11,73.98,67,4.41,Average
1.44,64.52,59,0.88,Poor
3.44,91.59,75,4.39,Good
2.3,60.02,37,1.64,Poor
6.06,90.48,72,3.69,Good
2.2,62.17,26,1.08,Poor
2.07,60.01,33,0.17,Poor
2.88,76.43,68,2.19,Average
4.54,87.71,91,5.39,Good
2.48,53.8,35,0.66,Poor
0.93,67.72,54,1.79,Poor
3.74,85.31,51,1.7,Average
5.03,94.41,70,2.47,Good
1.13,65.52,57,0.27,Poor
2.18,88.91,81,2.98,Average
3.17,80.75,60,1.56,Average
2.42,78.19,91,2.04,Average
4.97,88.74,79,2.48,Good
1.04,60.47,47,0.0,Poor
1.14,45.97,33,0.0,Poor
2.61,86.97,89,3.29,Good
1.16,61.68,39,1.01,Poor
4.19,81.17,86,3.32,Good
1.4,84.6,44,0.31,Poor
3.67,68.56,56,2.58,Average
1.23,61.67,30,1.04,Poor
0.74,61.98,32,1.41,Poor
5.45,81.22,82,2.47,Good
1.89,77.75,54,2.47,Average
4.95,91.08,75,2.29,Good
5.46,89.61,80,5.07,Good
5.78,94.44,71,3.83,Good
2.06,60.17,45,1.44,Poor
0.89,71.19,42,1.26,Poor
4.18,95.65,78,3.76,Good
3.65,72.03,68,2.44,Average
4.48,88.77,78,4.06,Good
4.86,94.74,78,5.6,Good
2.6,75.74,32,2.42,Poor
2.06,58.44,61,2.11,Poor
5.77,87.19,74,4.12,Good
3.21,71.83,74,1.94,Average
4.77,89.25,66,3.89,Good
1.74,88.63,78,2.87,Average
0.68,49.95,37,0.33,Poor
4.75,79.18,55,4.67,Average
3.22,89.11,90,3.36,Good
1.49,61.59,31,1.44,Poor
3.56,80.99,62,3.33,Average
1.91,82.85,84,0.66,Average
3.16,78.75,61,2.09,Average
0.51,59.75,60,1.4,Poor
2.39,62.91,49,0.23,Poor
1.36,80.47,74,3.03,Average
1.29,80.14,46,1.0,Average
1.5,76.94,42,0.62,Poor
1.48,54.77,37,0.0,Poor
4.8,97.9,88,4.6,Good
4.2,77.02,49,0.5,Average
5.73,83.61,87,3.94,Good
6.36,90.3,83,5.65,Good
1.65,69.22,41,0.61,Poor
1.8,81.92,75,1.78,Average
3.79,79.38,64,1.69,Average
5.28,86.52,81,3.84,Good
1.38,69.29,36,1.45,Poor
1.04,70.04,39,1.75,Poor
3.51,88.5,74,5.01,Good
1.43,71.96,47,2.55,Poor
2.38,46.11,34,1.55,Poor
4.59,88.29,75,3.29,Good
1.11,71.05,14,1.29,Poor
4.17,80.62,73,4.14,Average
2.02,80.03,59,2.86,Average
5.48,90.36,92,3.28,Good
5.87,96.73,93,2.17,Good
5.51,99.51,79,4.79,Good
5.08,93.69,48,2.36,Average
4.75,93.28,80,3.96,Good
2.48,64.9,65,2.28,Poor
5.86,85.1,86,4.64,Good
4.36,89.13,81,5.7,Good
1.17,58.1,30,2.09,Poor
3.09,86.93,66,2.18,Average
3.05,85.43,51,2.95,Average
5.18,91.3,81,3.15,Good
1.63,81.53,26,0.61,Poor
2.0,83.29,66,2.7,Average
2.87,73.93,60,0.91,Poor
2.02,82.98,55,2.95,Average
5.75,87.97,80,3.0,Good
5.58,88.61,72,3.21,Good
5.6,89.64,77,1.9,Good
1.9,56.89,39,1.49,Poor
5.57,93.86,79,3.81,Good
3.95,92.65,60,4.88,Good
1.75,60.24,49,0.05,Poor
5.02,86.95,81,4.05,Good
0.81,78.02,72,2.82,Average
1.96,75.8,55,1.27,Poor
2.22,87.84,62,3.54,Average
4.09,92.96,99,2.43,Good
2.2,64.69,56,1.31,Poor
4.71,98.62,77,3.64,Good
4.17,82.31,62,2.53,Average
3.83,82.44,80,4.13,Good
1.98,84.09,68,3.28,Average
5.34,87.81,73,4.96,Good
3.03,87.43,71,4.8,Good
5.62,90.4,78,3.65,Good
5.02,80.88,85,3.65,Good
2.07,77.94,74,2.86,Average
1.71,73.9,67,2.7,Average
0.91,52.03,51,1.51,Poor
1.85,82.57,37,1.61,Poor
1.68,62.54,29,0.76,Poor
6.9,96.81,78,4.59,Good
4.8,90.23,77,3.41,Good
4.8,91.49,84,4.86,Good
1.64,87.95,83,2.1,Average
5.68,90.91,82,3.34,Good
4.85,87.42,82,5.55,Good
5.27,93.49,90,4.24,Good
3.89,80.9,82,2.43,Average
5.99,90.03,89,2.04,Good
1.79,76.65,58,2.45,Average
2.87,82.4,54,3.58,Average
4.73,79.58,92,4.64,Good
2.64,79.27,53,2.74,Average
3.96,90.85,83,1.6,Average
0.0,65.3,67,1.31,Poor
1.67,69.59,47,0.71,Poor
6.2,89.46,70,4.25,Good
0.81,56.64,51,1.67,Poor
3.32,88.61,87,4.49,Good
6.6,93.48,93,6.25,Good
1.58,77.97,39,1.14,Poor
2.19,55.72,49,1.68,Poor
3.21,100.0,67,3.74,Good
0.85,67.4,40,0.0,Poor
1.42,59.73,42,0.1,Poor
6.35,91.89,80,2.45,Good
2.16,77.51,53,0.95,Average
3.13,100.0,76,5.27,Good
2.57,83.12,61,1.36,Average
1.2,75.65,29,1.22,Poor
6.98,86.57,80,2.22,Good
1.91,87.61,65,1.81,Average
2.36,84.59,83,2.96,Average
5.16,86.89,89,3.25,Good
2.3,70.68,50,0.12,Poor
2.1,83.8,52,1.88,Average
4.06,88.77,69,4.04,Good
2.86,76.45,76,3.73,Average
1.12,63.22,17,1.71,Poor
4.6,80.82,65,1.27,Average
2.8,83.23,64,3.16,Average
1.65,49.49,59,1.71,Poor
6.87,92.13,82,3.1,Good
3.91,86.8,75,3.94,Good
4.17,81.19,65,0.64,Average
4.77,81.94,89,3.86,Good
3.95,90.37,58,1.38,Average
2.96,78.84,61,1.51,Average
7.6,90.12,83,5.54,Good
3.96,80.23,58,1.49,Average
3.23,98.08,52,1.86,Average
1.57,85.81,53,3.29,Average
5.4,84.29,79,1.58,Good
1.94,68.78,68,1.32,Poor
2.96,73.22,77,3.22,Average
2.97,95.58,74,4.09,Good
2.03,66.45,40,0.78,Poor
0.82,49.56,56,0.76,Poor
1.32,67.04,40,1.63,Poor
2.62,71.59,45,1.43,Poor
1.49,65.65,38,0.4,Poor
3.21,83.49,61,1.49,Average
2.22,60.03,40,1.29,Poor
4.76,85.55,72,2.3,Average
2.07,74.39,63,2.95,Average
4.73,93.22,100,3.08,Good
4.64,86.2,82,3.44,Good
2.94,78.73,40,2.04,Poor
3.46,77.89,63,2.31,Average
1.77,71.66,64,4.08,Average
5.19,92.28,69,4.68,Good
1.45,83.25,22,1.4,Poor
4.54,82.06,72,2.88,Average
4.96,87.26,74,4.52,Good
4.22,68.65,58,1.64,Average
5.55,89.74,83,4.34,Good
2.08,53.87,49,0.74,Poor
3.47,89.79,74,2.74,Good
2.17,75.3,22,0.84,Poor
1.8,74.48,63,1.74,Average
4.45,88.32,75,5.19,Good
5.31,94.15,88,3.12,Good
4.24,84.4,87,5.39,Good
0.55,69.28,40,0.74,Poor
1.78,58.9,24,0.69,Poor
4.74,70.32,74,1.53,Average
2.55,62.88,41,0.15,Poor
4.08,82.3,76,1.8,Average
6.1,92.68,75,3.35,Good
4.27,77.63,80,2.52,Average
0.4,63.33,48,1.08,Poor
4.26,91.52,89,5.03,Good
5.14,82.98,74,4.1,Good
4.9,86.03,94,2.33,Good
3.99,84.53,84,3.64,Good
4.57,82.78,55,2.26,Average
1.42,75.5,61,0.0,Poor
5.06,88.17,82,5.7,Good
1.58,60.56,44,1.55,Poor
1.43,46.69,41,0.77,Poor
1.36,62.87,32,1.93,Poor
3.69,90.24,77,4.82,Good
4.13,67.15,59,2.03,Average
2.66,74.53,63,3.08,Average
4.56,85.36,75,3.56,Good
4.5,85.53,52,2.84,Average
2.11,71.95,74,0.92,Average
2.22,87.16,68,1.23,Average
2.54,78.93,63,1.52,Average
3.33,74.14,75,1.69,Average
2.08,74.59,57,1.86,Average
0.72,74.37,35,0.3,Poor
1.8,81.5,76,2.1,Average
2.08,95.36,82,2.86,Average
1.77,76.87,59,0.91,Poor
0.98,60.88,51,1.08,Poor
2.64,99.02,68,1.38,Average
1.0,69.76,34,0.19,Poor
3.07,70.65,65,1.74,Average
5.03,94.85,61,5.3,Good
2.24,84.71,67,0.92,Average
1.79,91.67,51,1.58,Average
3.39,71.28,63,2.29,Average
3.57,95.29,78,4.28,Good
4.8,75.63,86,1.6,Average
5.62,96.17,80,5.64,Good
5.26,76.41,65,3.92,Good
2.59,82.03,86,1.47,Average
3.89,80.29,66,1.99,Average
3.0,70.31,60,2.74,Average
3.64,85.23,75,1.58,Average
3.82,83.04,65,3.52,Average
5.53,99.74,87,3.71,Good
0.18,77.05,21,1.34,Poor
3.0,86.59,74,1.65,Average
0.5,71.53,65,0.2,Poor
2.53,85.65,30,1.3,Poor
5.0,90.83,79,4.99,Good
1.55,78.93,45,2.04,Poor
2.02,60.69,34,1.42,Poor
2.02,83.73,58,2.08,Average
1.77,83.69,68,3.66,Average
4.15,80.2,61,3.07,Average
3.63,88.46,65,2.36,Average
3.98,70.71,59,2.87,Average
3.68,72.31,64,1.23,Average
0.88,64.0,32,0.69,Poor
4.07,87.68,68,4.31,Average
3.22,78.02,72,1.29,Average
3.85,90.24,90,4.25,Good
1.48,73.65,63,2.71,Average
0.14,81.97,47,1.82,Poor
1.04,53.28,55,2.63,Poor
5.0,89.49,75,4.56,Good
3.28,85.91,80,3.62,Average
4.79,84.73,52,2.76,Average
5.62,83.39,90,3.14,Good
3.35,66.08,50,2.45,Average
3.81,91.8,76,5.17,Good
1.77,84.77,59,3.63,Average
0.16,64.32,53,1.17,Poor
3.73,75.58,65,3.12,Average
3.89,98.06,80,4.98,Good
5.17,83.43,81,2.01,Average
1.01,84.03,52,0.54,Poor
2.44,79.45,63,4.04,Average
3.33,84.3,56,1.76,Average
2.31,85.31,33,1.05,Poor
1.43,67.94,47,0.15,Poor
4.75,90.77,82,5.35,Good
3.48,79.92,59,4.13,Average
2.51,48.33,49,1.79,Poor
3.2,71.27,66,3.09,Average
3.8,68.73,54,2.11,Average
4.63,84.42,80,2.64,Good
2.59,70.57,84,1.48,Average
1.9,61.43,28,1.21,Poor
4.98,82.37,82,2.84,Good
4.71,88.53,65,3.25,Good
5.16,86.28,79,3.76,Good
6.22,93.51,79,2.67,Good
5.54,96.85,64,4.64,Good
5.06,92.35,85,3.56,Good
3.89,89.57,73,5.26,Good
4.28,89.34,88,6.1,Good
5.84,90.36,81,3.41,Good
4.53,84.2,75,3.23,Good
3.63,72.21,42,2.66,Average
4.03,93.01,88,4.75,Good
4.17,83.07,57,1.88,Average
2.76,86.72,59,2.61,Average
2.25,72.23,20,0.63,Poor
7.1,84.6,93,4.1,Good
3.81,77.82,55,3.26,Average
1.33,57.08,46,1.36,Poor
0.53,88.45,35,0.65,Poor
2.62,73.73,72,3.38,Average
0.79,62.65,29,0.86,Poor
6.52,95.58,80,4.37,Good
2.36,78.3,21,1.0,Poor
1.62,80.21,58,3.89,Average
1.62,66.18,71,1.47,Average
3.46,84.33,81,2.74,Average
1.63,63.79,37,2.27,Poor
0.54,68.11,64,0.21,Poor
1.95,64.98,55,1.54,Poor
4.88,88.18,91,5.33,Good
